'1605928811','qwerz','00:81:C4:9D:74:F2','1','-84','3', '0'
'1605928811','BVG Wi-Fi','00:81:C4:E6:70:80','6','-55','0', '0'
'1605928811','qwerz','00:81:C4:E6:70:82','6','-55','3', '0'
'1605928811','qwerz','00:81:C4:21:59:D2','6','-84','3', '0'
'1605928811','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-76','0', '0'
'1605928811','qwerz','00:81:C4:F8:84:B2','11','-76','3', '0'
'1605928817','BVG Wi-Fi','00:81:C4:F8:84:40','1','-65','0', '0'
'1605928817','qwerz','00:81:C4:F8:84:42','1','-65','3', '0'
'1605928817','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-79','3', '0'
'1605928817','BVG Wi-Fi','00:81:C4:E6:70:80','6','-69','0', '0'
'1605928817','qwerz','00:81:C4:E6:70:82','6','-70','3', '0'
'1605928817','BVG Wi-Fi','00:81:C4:21:59:D0','6','-86','0', '0'
'1605928817','qwerz','00:81:C4:21:59:D2','6','-86','3', '0'
'1605928817','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-74','0', '0'
'1605928818','qwerz','00:81:C4:F8:84:B2','11','-74','3', '0'
'1605928823','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-70','3', '0'
'1605928823','BVG Wi-Fi','00:81:C4:F8:84:40','1','-66','0', '0'
'1605928823','qwerz','00:81:C4:F8:84:42','1','-67','3', '0'
'1605928823','BVG Wi-Fi','00:81:C4:E6:70:80','6','-73','0', '0'
'1605928823','qwerz','00:81:C4:E6:70:82','6','-72','3', '0'
'1605928823','BVG Wi-Fi','00:81:C4:21:59:D0','6','-85','0', '0'
'1605928823','qwerz','00:81:C4:21:59:D2','6','-86','3', '0'
'1605928823','qwerz','00:81:C4:F8:84:B2','11','-72','3', '0'
'1605928824','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-73','0', '0'
'1605928829','BVG Wi-Fi','00:81:C4:F8:84:40','1','-62','0', '0'
'1605928829','qwerz','00:81:C4:F8:84:42','1','-62','3', '0'
'1605928829','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-67','3', '0'
'1605928829','qwerz','00:81:C4:21:59:D2','6','-80','3', '0'
'1605928829','BVG Wi-Fi','00:81:C4:E6:70:80','6','-77','0', '0'
'1605928829','qwerz','00:81:C4:E6:70:82','6','-73','3', '0'
'1605928830','BVG Wi-Fi','00:81:C4:21:59:D0','6','-82','0', '0'
'1605928830','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-72','0', '0'
'1605928830','qwerz','00:81:C4:F8:84:B2','11','-72','3', '0'
'1605928830','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-86','0', '0'
'1605928830','qwerz','00:81:C4:E6:92:B2','11','-86','3', '0'
'1605928835','BVG Wi-Fi','00:81:C4:F8:84:40','1','-64','0', '0'
'1605928835','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-63','3', '0'
'1605928836','qwerz','00:81:C4:F8:84:42','1','-63','3', '0'
'1605928836','BVG Wi-Fi','00:81:C4:E6:70:80','6','-72','0', '0'
'1605928836','BVG Wi-Fi','00:81:C4:21:59:D0','6','-82','0', '0'
'1605928836','qwerz','00:81:C4:E6:70:82','6','-73','3', '0'
'1605928836','qwerz','00:81:C4:21:59:D2','6','-82','3', '0'
'1605928836','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-61','0', '0'
'1605928836','qwerz','00:81:C4:F8:84:B2','11','-62','3', '0'
'1605928842','BVG Wi-Fi','00:81:C4:F8:84:40','1','-53','0', '0'
'1605928842','qwerz','00:81:C4:F8:84:42','1','-54','3', '0'
'1605928842','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-73','3', '0'
'1605928842','qwerz','00:81:C4:E6:70:82','6','-75','3', '0'
'1605928842','qwerz','00:81:C4:21:59:D2','6','-81','3', '0'
'1605928842','BVG Wi-Fi','00:81:C4:E6:70:80','6','-80','0', '0'
'1605928842','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-69','0', '0'
'1605928842','qwerz','00:81:C4:F8:84:B2','11','-69','3', '0'
'1605928843','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-86','0', '0'
'1605928843','qwerz','00:81:C4:E6:92:B2','11','-85','3', '0'
'1605928848','BVG Wi-Fi','00:81:C4:F8:84:40','1','-38','0', '0'
'1605928848','qwerz','00:81:C4:F8:84:42','1','-38','3', '0'
'1605928848','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-83','3', '0'
'1605928848','qwerz','00:81:C4:E6:70:82','6','-85','3', '0'
'1605928848','qwerz','00:81:C4:21:59:D2','6','-77','3', '0'
'1605928848','BVG Wi-Fi','00:81:C4:21:59:D0','6','-77','0', '0'
'1605928848','BVG Wi-Fi','00:81:C4:E6:70:80','6','-81','0', '0'
'1605928848','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-65','0', '0'
'1605928848','qwerz','00:81:C4:F8:84:B2','11','-66','3', '0'
'1605928849','qwerz','00:81:C4:E6:92:B2','11','-86','3', '0'
'1605928849','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-87','0', '0'
