timestamp,ssid,mac,channel,rssi,authmode,hidden
'1609030516','BVG Wi-Fi','00:81:C4:91:06:C0','1','-71','0', '0'
'1609030516','qwerz','00:81:C4:91:06:C2','1','-70','3', '0'
'1609030516','BVG Wi-Fi','00:81:C4:90:E6:00','11','-75','0', '0'
'1609030516','qwerz','00:81:C4:90:E6:02','11','-75','3', '0'
'1609030522','BVG Wi-Fi','00:81:C4:91:06:C0','1','-72','0', '0'
'1609030522','qwerz','00:81:C4:91:06:C2','1','-72','3', '0'
'1609030522','BVG Wi-Fi','00:81:C4:90:E6:00','11','-77','0', '0'
'1609030522','qwerz','00:81:C4:90:E6:02','11','-77','3', '0'
'1609030527','BVG Wi-Fi','00:81:C4:91:06:C0','1','-63','0', '0'
'1609030527','qwerz','00:81:C4:91:06:C2','1','-62','3', '0'
'1609030527','qwerz','00:81:C4:90:E6:02','11','-81','3', '0'
'1609030527','BVG Wi-Fi','00:81:C4:90:E6:00','11','-80','0', '0'
'1609030532','BVG Wi-Fi','00:81:C4:91:06:C0','1','-63','0', '0'
'1609030533','qwerz','00:81:C4:91:06:C2','1','-64','3', '0'
'1609030533','BVG Wi-Fi','00:81:C4:90:E6:00','11','-79','0', '0'
'1609030533','qwerz','00:81:C4:90:E6:02','11','-78','3', '0'
'1609030538','BVG Wi-Fi','00:81:C4:91:06:C0','1','-71','0', '0'
'1609030538','qwerz','00:81:C4:91:06:C2','1','-71','3', '0'
'1609030538','BVG Wi-Fi','00:81:C4:90:E6:00','11','-74','0', '0'
'1609030538','qwerz','00:81:C4:90:E6:02','11','-74','3', '0'
'1609030543','BVG Wi-Fi','00:81:C4:91:06:C0','1','-61','0', '0'
'1609030543','qwerz','00:81:C4:91:06:C2','1','-62','3', '0'
'1609030544','BVG Wi-Fi','00:81:C4:90:E6:00','11','-72','0', '0'
'1609030544','qwerz','00:81:C4:90:E6:02','11','-74','3', '0'
'1609030549','BVG Wi-Fi','00:81:C4:91:06:C0','1','-45','0', '0'
'1609030549','qwerz','00:81:C4:91:06:C2','1','-52','3', '0'
'1609030549','BVG Wi-Fi','00:81:C4:90:E6:00','11','-75','0', '0'
'1609030549','qwerz','00:81:C4:90:E6:02','11','-75','3', '0'
'1609030554','BVG Wi-Fi','00:81:C4:91:06:C0','1','-50','0', '0'
'1609030554','qwerz','00:81:C4:91:06:C2','1','-48','3', '0'
'1609030555','BVG Wi-Fi','00:81:C4:90:E6:00','11','-72','0', '0'
'1609030555','qwerz','00:81:C4:90:E6:02','11','-73','3', '0'
'1609030560','BVG Wi-Fi','00:81:C4:91:06:C0','1','-28','0', '0'
'1609030560','qwerz','00:81:C4:91:06:C2','1','-31','3', '0'
'1609030560','BVG Wi-Fi','00:81:C4:90:E6:00','11','-69','0', '0'
'1609030560','qwerz','00:81:C4:90:E6:02','11','-68','3', '0'
'1609030565','BVG Wi-Fi','00:81:C4:91:06:C0','1','-57','0', '0'
'1609030566','qwerz','00:81:C4:91:06:C2','1','-58','3', '0'
'1609030566','BVG Wi-Fi','00:81:C4:90:E6:00','11','-67','0', '0'
'1609030566','qwerz','00:81:C4:90:E6:02','11','-67','3', '0'
'1609030571','BVG Wi-Fi','00:81:C4:91:06:C0','1','-61','0', '0'
'1609030571','qwerz','00:81:C4:91:06:C2','1','-62','3', '0'
'1609030571','BVG Wi-Fi','00:81:C4:90:E6:00','11','-73','0', '0'
'1609030571','qwerz','00:81:C4:90:E6:02','11','-73','3', '0'
'1609030576','BVG Wi-Fi','00:81:C4:91:06:C0','1','-68','0', '0'
'1609030576','qwerz','00:81:C4:91:06:C2','1','-66','3', '0'
'1609030576','qwerz','00:81:C4:90:E6:02','11','-80','3', '0'
'1609030577','BVG Wi-Fi','00:81:C4:90:E6:00','11','-80','0', '0'
'1609030582','BVG Wi-Fi','00:81:C4:91:06:C0','1','-70','0', '0'
'1609030582','qwerz','00:81:C4:91:06:C2','1','-69','3', '0'
'1609030582','BVG Wi-Fi','00:81:C4:90:E6:00','11','-74','0', '0'
'1609030582','qwerz','00:81:C4:90:E6:02','11','-74','3', '0'
'1609030587','BVG Wi-Fi','00:81:C4:91:06:C0','1','-72','0', '0'
'1609030587','qwerz','00:81:C4:91:06:C2','1','-71','3', '0'
'1609030587','qwerz','00:81:C4:90:E6:02','11','-81','3', '0'
'1609030587','BVG Wi-Fi','00:81:C4:90:E6:00','11','-81','0', '0'
'1609030592','BVG Wi-Fi','00:81:C4:91:06:C0','1','-73','0', '0'
'1609030593','qwerz','00:81:C4:91:06:C2','1','-73','3', '0'
'1609030593','qwerz','00:81:C4:90:E6:02','11','-85','3', '0'
'1609030593','BVG Wi-Fi','00:81:C4:90:E6:00','11','-82','0', '0'
'1609030598','BVG Wi-Fi','00:81:C4:91:06:C0','1','-79','0', '0'
'1609030598','qwerz','00:81:C4:91:06:C2','1','-79','3', '0'
'1609030598','qwerz','00:81:C4:90:E6:02','11','-82','3', '0'
'1609030598','BVG Wi-Fi','00:81:C4:90:E6:00','11','-85','0', '0'
'1609030603','BVG Wi-Fi','00:81:C4:91:06:C0','1','-79','0', '0'
'1609030603','qwerz','00:81:C4:91:06:C2','1','-77','3', '0'
'1609030603','qwerz','00:81:C4:90:E6:02','11','-82','3', '0'
'1609030604','BVG Wi-Fi','00:81:C4:90:E6:00','11','-79','0', '0'
'1609030609','qwerz','00:81:C4:91:06:C2','1','-81','3', '0'
'1609030609','BVG Wi-Fi','00:81:C4:91:06:C0','1','-83','0', '0'
'1609030609','qwerz','00:81:C4:90:E6:02','11','-84','3', '0'
'1609030614','qwerz','00:81:C4:91:06:C2','1','-78','3', '0'
'1609030614','BVG Wi-Fi','00:81:C4:91:06:C0','1','-76','0', '0'
'1609030614','qwerz','00:81:C4:90:E6:02','11','-86','3', '0'
'1609030614','BVG Wi-Fi','00:81:C4:90:E6:00','11','-85','0', '0'
'1609030619','BVG Wi-Fi','00:81:C4:91:06:C0','1','-80','0', '0'
'1609030620','qwerz','00:81:C4:91:06:C2','1','-78','3', '0'
'1609030620','qwerz','00:81:C4:90:E6:02','11','-85','3', '0'
'1609030620','BVG Wi-Fi','00:81:C4:90:E6:00','11','-85','0', '0'
'1609030625','BVG Wi-Fi','00:81:C4:91:06:C0','1','-75','0', '0'
'1609030625','qwerz','00:81:C4:91:06:C2','1','-74','3', '0'
'1609030625','qwerz','00:81:C4:90:E6:02','11','-79','3', '0'
'1609030625','BVG Wi-Fi','00:81:C4:90:E6:00','11','-80','0', '0'
